l_entity_id,r_business_id,_sim_score
49463,59,1.0
18238,116,0.8
31300,121,0.8
90005,150,1.0
87362,195,0.8333333333333334
7628,284,1.0
93641,306,0.8
22466,308,0.8
15000,458,1.0
15000,459,1.0
69816,505,1.0
11096,616,0.8333333333333334
25414,616,0.8333333333333334
48396,616,0.8333333333333334
9300,665,1.0
37619,726,0.8
4436,805,1.0
4436,806,1.0
9713,863,0.8333333333333334
9952,960,1.0
86878,1045,0.8333333333333334
86878,1046,0.8333333333333334
2336,1140,0.8
39780,1140,0.8
40117,1161,1.0
92501,1161,0.8
82225,1199,1.0
31668,1210,1.0
83798,1384,0.8
19929,1434,0.8
10142,1459,1.0
39285,1483,1.0
32634,1607,0.8333333333333334
77401,1636,0.8
51999,1649,0.8
53383,1744,0.8
25918,1811,1.0
4287,1904,0.8
51060,1914,1.0
85756,1917,1.0
14501,1966,0.8
15925,2206,0.8
58894,2239,0.8333333333333334
67773,2738,0.8333333333333334
66839,2901,0.8
75521,2901,0.8
66839,2902,0.8
75521,2902,0.8
17258,2955,0.8
75103,3020,1.0
83096,3020,1.0
73297,3038,1.0
70109,3089,1.0
8378,3099,0.8333333333333334
34705,3117,1.0
71875,3117,1.0
20903,3240,0.8
18495,3276,1.0
81013,3320,1.0
9706,3580,1.0
39946,3633,0.8
29468,3840,0.8
36130,3845,1.0
9011,3852,0.8
20443,3852,0.8
56426,3852,0.8
86663,3908,1.0
37175,4021,0.8
91122,4144,0.8
79999,4308,0.8
53860,4451,1.0
8073,4805,0.8571428571428571
81013,4912,0.8
38399,5452,0.8
38399,5453,0.8
9088,5462,0.8
88097,5648,0.8
47698,5649,0.8333333333333334
47698,5650,0.8333333333333334
77506,5672,0.8333333333333334
78158,5739,0.8
43843,5805,1.0
41183,5904,1.0
63112,5951,0.8333333333333334
63112,5952,0.8333333333333334
88097,6183,0.8
53802,6209,1.0
52982,6437,1.0
23642,6456,0.8
23642,6457,0.8
11502,6477,0.8
73410,6477,0.8
73184,6521,0.8
27702,6536,0.8
5521,6661,0.8
2820,6697,1.0
61324,6980,0.8
88134,7022,1.0
40688,7076,1.0
87307,7171,0.8333333333333334
64278,7215,1.0
52398,7246,0.8
55634,7317,0.8
52063,7327,1.0
4995,7565,0.8333333333333334
4995,7566,0.8333333333333334
82376,7662,0.8
12045,7703,1.0
20991,7839,0.8
60505,7844,1.0
24271,7895,0.8333333333333334
57345,7911,0.8
92746,7993,1.0
92746,7994,1.0
23618,8097,0.8
33129,8188,1.0
49405,8442,1.0
47844,8463,0.8
56956,8490,1.0
56956,8491,1.0
68068,8601,1.0
12552,8603,1.0
15577,8603,1.0
83011,8603,1.0
92555,8603,1.0
94076,8603,1.0
50695,8635,1.0
77085,8724,0.8
64803,8763,1.0
8524,8957,1.0
9088,8980,1.0
31178,9314,1.0
31178,9315,1.0
56290,9435,0.8
54591,9698,1.0
54591,9699,1.0
8739,9725,0.8
37175,9797,1.0
61848,9900,1.0
61848,9901,1.0
85246,9926,0.8
85246,9927,0.8
49341,9999,1.0
49663,10026,1.0
88121,10044,1.0
88121,10045,1.0
65533,10211,0.8
30207,10317,0.8333333333333334
72355,10347,0.8
22833,10361,1.0
30207,10368,0.8333333333333334
86452,10413,0.8
47754,10417,0.8333333333333334
59315,10540,0.8
80108,10881,1.0
88481,10946,0.8
38384,10969,0.8
24942,11136,0.8
8042,11165,1.0
82454,11190,1.0
88131,11381,1.0
34006,11383,0.8
38220,11439,0.8
92553,11443,1.0
58031,11520,0.8
16733,11673,0.8
42072,11776,0.8
32198,11817,1.0
32198,11818,1.0
72538,11840,0.8
23844,12037,0.8
92447,12152,0.8
31413,12240,0.8
24531,12358,1.0
55114,12358,1.0
62612,12583,1.0
32225,12586,1.0
80602,12634,1.0
46921,12646,0.8333333333333334
93646,13055,1.0
22816,13092,1.0
52540,13092,1.0
76342,13092,1.0
80474,13092,1.0
57944,13210,1.0
37768,13238,1.0
76670,13247,0.8
25900,13275,0.8
68696,13563,0.8
72535,13738,0.8
78713,13764,0.8
78713,13765,0.8
61079,13852,0.8
12168,13982,1.0
73597,14142,1.0
46660,14238,1.0
15932,14302,1.0
56815,14466,1.0
27899,14511,0.875
77540,14548,1.0
23578,14629,0.8
6295,14710,0.8
65440,14790,0.8
51056,14825,1.0
63816,15045,0.8
26622,15280,1.0
65494,15522,1.0
52502,15671,0.8
89462,15726,1.0
3932,15871,1.0
9408,15871,1.0
13491,15871,1.0
37753,15871,1.0
56399,15871,1.0
80999,15906,0.8
11874,15917,1.0
11874,15918,1.0
9243,15961,1.0
93741,15986,1.0
24578,16038,0.8
64268,16193,1.0
69204,16220,0.8
55308,16301,0.8571428571428571
7822,16491,0.8333333333333334
85422,16671,1.0
159,16722,1.0
40460,16786,0.8
73248,16816,1.0
78736,16859,1.0
55234,17007,0.8
55234,17008,0.8
88870,17047,0.8
159,17061,0.8
22349,17115,0.8
5874,17191,1.0
82268,17224,1.0
40778,17257,0.8333333333333334
82268,17271,0.8
56857,17353,0.8
56857,17354,0.8
82554,17403,1.0
50612,17660,1.0
11294,17677,1.0
37967,17717,1.0
44576,17734,0.8333333333333334
63414,17888,0.8
6049,17959,1.0
22278,17959,1.0
27132,17959,1.0
30092,17959,1.0
32088,17959,1.0
37350,17959,1.0
38042,17959,1.0
40321,17959,1.0
41398,17959,1.0
42551,17959,1.0
43713,17959,1.0
51297,17959,1.0
57537,17959,1.0
62283,17959,1.0
72374,17959,1.0
73080,17959,1.0
79142,17959,1.0
90870,17959,1.0
91032,17959,1.0
94029,17959,1.0
86105,18203,0.8
3806,18253,1.0
71913,18363,0.8
86105,18430,1.0
11638,18451,0.8
62502,18458,0.8333333333333334
55128,18506,0.8
50356,18525,1.0
78812,18543,1.0
2843,18620,1.0
23548,18620,1.0
30400,18620,1.0
44386,18620,1.0
47377,18620,1.0
60772,18620,1.0
64328,18620,1.0
70671,18620,1.0
79871,18620,1.0
82637,18620,1.0
83483,18620,1.0
15657,18789,1.0
93339,18824,1.0
18244,19119,0.8
3359,19128,1.0
82834,19132,1.0
59083,19208,1.0
65604,19227,1.0
25278,19297,0.8
25278,19298,0.8
84496,19362,0.8
84496,19363,0.8
74450,19436,1.0
56168,19493,1.0
26244,19509,0.8
61332,19564,0.8333333333333334
25060,19653,1.0
32488,19710,0.8
36957,19710,0.8
